Id	Category	Tags	Words																															
0	Kompass	easy	Nord	Ost	Süd	West	Nordwest	Nordost	Südwest	Südost	Peilung	Azimut	Nadel	Magnet	Zifferblatt	Punkt	Orientierung																	
1	Berufe	easy	Krankenschwester	Fahrer	Lehrer	Ingenieur	Klempner	Anwalt	Koch	Arzt	Künstler	Manager	Feuerwehrmann	Pilot	Buchhalter	Mechaniker	Elektriker																	
2	Farben	easy	Rot	Blau	Gelb	Grün	Orange	Lila	Schwarz	Weiß	Grau	Braun	Rosa	Gold	Silber	Cyan	Magenta																	
3	Musikinstrumente	easy	Gitarre	Klavier	Violine	Schlagzeug	Trompete	Cello	Flöte	Saxophon	Harfe	Klarinette	Oboe	Tuba	Banjo	Marimba	Akkordeon																	
4	Planeten	easy	Merkur	Venus	Erde	Mars	Jupiter	Saturn	Uranus	Neptun	Pluto (Zwerg)	Exoplanet	Umlaufbahn	Komet	Asteroid	Galaxie	Sonnensystem																	
5	Küchenutensilien	easy	Gabel	Löffel	Messer	Schneebesen	Spatel	Schöpfkelle	Nudelholz	Sieb	Schäler	Zange	Messbecher	Reibe	Pfanne	Topf	Mixer																	
6	Wetter	easy	Regen	Schnee	Wolke	Wind	Nebel	Sturm	Sonne	Donner	Blitz	Hagel	Brise	Nieselregen	Schneesturm	Orkan	Tornado																	
7	Formen	easy	Kreis	Quadrat	Dreieck	Rechteck	Oval	Stern	Raute	Sechseck	Fünfeck	Achteck	Kugel	Würfel	Pyramide	Kegel	Zylinder																	
8	Sportarten	easy	Fußball	Basketball	Tennis	Golf	Baseball	Laufen	Schwimmen	Volleyball	Hockey	Boxen	Radfahren	Skifahren	Rugby	Fechten	Cricket																	
9	Obst	easy	Apfel	Banane	Kirsche	Orange	Erdbeere	Mango	Ananas	Wassermelone	Zitrone	Blaubeere	Himbeere	Kiwi	Pfirsich	Traube	Birne																	
10	Gemüse	easy	Karotte	Kartoffel	Tomate	Salat	Brokkoli	Zwiebel	Paprika	Mais	Spinat	Kohl	Gurke	Zucchini	Pilz	Spargel	Radieschen																	
11	Körperteile	easy	Kopf	Arm	Bein	Hand	Fuß	Auge	Ohr	Nase	Mund	Hals	Schulter	Finger	Zehe	Brust	Magen																	
12	Gefühle	easy	Freude	Wut	Angst	Traurigkeit	Überraschung	Ekel	Aufregung	Ruhe	Liebe	Sorge	Scham	Schuld	Neid	Hoffnung	Stolz																	
13	Verkehrsmittel	easy	Auto	Bus	Zug	Flugzeug	Fahrrad	Boot	Schiff	Motorrad	Roller	U-Bahn	Taxi	Hubschrauber	Fähre	LKW	Rakete																	
14	Musikrichtungen	easy	Disco	Pop	Jazz	Klassik	Blues	Country	Hip Hop	Elektronik	Reggae	Folk	Metal	Soul	Rock	Gospel	Oper																	
15	Schulfächer	easy	Mathe	Wissenschaft	Geschichte	Englisch	Kunst	Geografie	Musik	Physik	Chemie	Biologie	Literatur	Wirtschaft	Psychologie	Fremdsprache	Theater																	
16	Garten	easy	Blume	Baum	Busch	Schaufel	Rechen	Erde	Gras	Schlauch	Gießkanne	Zaun	Bank	Vogelhaus	Samen	Kompost	Pflanzloch																	
17	Möbel	easy	Stuhl	Tisch	Sofa	Bett	Schreibtisch	Lampe	Regal	Schrank	Kommode	Hocker	Ottomane	Teppich	Spiegel	Uhr	Kleiderschrank																	
18	Desserts	easy	Kuchen	Pastete	Käsekuchen	Eiscreme	Pudding	Brownie	Donut	Muffin	Torte	Keks	Sorbet	Vanillecreme	Gelato	Waffel	Soufflé																	
19	Brettspiele	easy	Schach	Dame	Monopoly	Scrabble	Cluedo	Risiko	Go	Backgammon	Domino	Poker	Bingo	Würfel	Spielstein	Karte	Strategie																	
20	Vögel	easy	Rotkehlchen	Spatz	Adler	Falke	Taube	Eule	Pinguin	Papagei	Kanarienvogel	Krähe	Schwan	Ente	Gans	Geier	Albatros																	
21	Säugetiere	easy	Elefant	Löwe	Tiger	Affe	Bär	Wolf	Hirsch	Fuchs	Kaninchen	Maus	Wal	Fledermaus	Känguru	Pferd	Zebra																	
22	Technologie	easy	Computer	Telefon	Internet	Software	Hardware	Netzwerk	Chip	Pixel	Daten	Server	Cloud	Tablet	Router	Tastatur	Algorithmus																	
23	Schuhwerk	easy	Schuh	Stiefel	Sandale	Turnschuh	Absatz	Hausschuh	Slipper	Mokassin	Clog	Trainer	Flip-Flop	Gummistiefel	Pumps	Stollen	Oxford																	
24	Bürobedarf	easy	Stift	Papier	Hefter	Ordner	Marker	Drucker	Umschlag	Schere	Textmarker	Büroklammer	Mappe	Whiteboard	Post-it	Taschenrechner	Klebeband																	
25	Vergnügungspark	easy	Achterbahn	Riesenrad	Karussell	Ticket	Fahrgeschäft	Schlange	Zuckerwatte	Spiel	Jahrmarkt	Bude	Nervenkitzel	Eintritt	Park	Maskottchen	Souvenir																	
26	Länder	easy	Brasilien	England	Indien	Russland	Kanada	Mexiko	Ägypten	Nigeria	Japan	Korea	Australien	Deutschland	Frankreich	Finnland	Argentinien																	
27	Fast Food	easy	Burger	Pommes	Pizza	Taco	Sandwich	Hot Dog	Hühnchen	Shake	Soda	Donut	Wrap	Nuggets	Zwiebelringe	Drive-In	Ketchup																	
28	Namen	easy	Michael	Jessica	Chris	Emily	David	Sarah	James	Anna	Robert	Laura	John	Maria	William	Nicole	Thomas																	
29	Feiertage	easy	Weihnachten	Ostern	Halloween	Erntedankfest	Diwali	Chanukka	Neujahr	Valentinstag	Geburtstag	Jahrestag	Festival	Urlaub	Feier	Parade	Festmahl																	
30	Insekten	easy	Ameise	Biene	Fliege	Mücke	Käfer	Schmetterling	Motte	Grille	Heuschrecke	Wespe	Heuschrecke	Marienkäfer	Termite	Libelle	Raupe																	
31	Adjektive	easy	Glücklich	Traurig	Groß	Klein	Schnell	Langsam	Dick	Dünn	Rot	Blau	Laut	Leise	Hell	Dunkel	Glatt																	
32	Verben	easy	Rennen	Springen	Gehen	Essen	Schlafen	Sprechen	Denken	Schreiben	Lesen	Fahren	Singen	Tanzen	Fliegen	Schwimmen	Bauen																	
33	Materialien	easy	Holz	Metall	Plastik	Glas	Gummi	Papier	Keramik	Beton	Ziegel	Stoff	Schaumstoff	Harz	Ton	Stein	Wachs																	
34	Werkzeuge	easy	Hammer	Bohrer	Säge	Schraubenschlüssel	Zange	Wasserwaage	Schraubendreher	Meißel	Axt	Maßband	Schraubstock	Feile	Klemme	Tacker	Leiter																	
35	Kleidung	easy	Hemd	Hose	Kleid	Rock	Jacke	Pullover	Mantel	Socken	Schuhe	Hut	Schal	Handschuhe	Gürtel	Krawatte	Jeans																	
36	Kartenspiele	easy	Poker	Bridge	Rommé	Solitaire	Blackjack	Go Fish	Hearts	Cribbage	Euchre	Pinochle	Deck	Hand	Mischen	Geben	Trumpf																	
37	Wetterereignisse	easy	Regen	Schnee	Hagel	Gewitter	Schneesturm	Orkan	Tornado	Dürre	Nebel	Wind	Zyklon	Schneeregen	Regenbogen	Wolkenbruch	Monsun																	
38	Küchengeräte	easy	Ofen	Herd	Mikrowelle	Toaster	Mixer	Kühlschrank	Geschirrspüler	Kaffeemaschine	Rührgerät	Grill	Wasserkocher	Küchenmaschine	Fritteuse	Herdplatte	Dunstabzugshaube																	
39	Musikgenres	easy	Pop	Rock	Jazz	Blues	Klassik	Folk	Metal	Hip-Hop	Reggae	EDM	Soul	Country	Oper	Punk	Disco																	
40	Präpositionen	easy	An	Auf	In	Zu	Für	Mit	Unter	Über	Durch	Über	Zwischen	Unter	Hinter	Vor	Nach																	
41	Bauernhoftiere	easy	Kuh	Schwein	Huhn	Schaf	Pferd	Ziege	Ente	Truthahn	Gans	Esel	Lama	Alpaka	Kaninchen	Hahn	Kalb																	
42	Sportausrüstung	easy	Ball	Schläger	Racket	Keule	Netz	Stock	Helm	Handschuh	Schoner	Schlittschuhe	Brille	Reifen	Stollen	Tor	Federball																	
43	Gebäudeteile	easy	Wand	Boden	Decke	Dach	Tür	Fenster	Fundament	Balken	Säule	Treppe	Schornstein	Balkon	Dachboden	Keller	Rinne																	
44	US-Bundesstaaten	easy	Kalifornien	Texas	Florida	New York	Alaska	Hawaii	Illinois	Ohio	Pennsylvania	Michigan	Georgia	North Carolina	Washington	Virginia	Arizona																	
45	Gartenwerkzeuge	easy	Kelle	Rechen	Schaufel	Hacke	Gartenschere	Heckenschere	Schubkarre	Handschuhe	Gabel	Kantenschneider	Sprenkler	Handgrubber	Sämaschine	Pflanzholz	Astschere																	
46	Verkehrszeichen	easy	Stopp	Vorfahrt gewähren	Tempolimit	Warnung	Kurve	Umleitung	Schulzone	Bahnübergang	Reißverschluss	Einbahnstraße	Einfahrt verboten	Fußgänger	Baustelle	Krankenhaus	Parken																	
47	Getränke	easy	Wasser	Milch	Saft	Tee	Kaffee	Soda	Bier	Wein	Cocktail	Smoothie	Limonade	Kakao	Energy Drink	Apfelwein	Sprudelwasser																	
48	Schreibwaren	easy	Stift	Bleistift	Tastatur	Papier	Tinte	Feder	Schreibmaschine	Marker	Kreide	Radiergummi	Notizbuch	Tablet	Stylus	Kalligraphie	Pinsel																	
49	Körperaktionen	easy	Atmen	Schlucken	Blinzeln	Husten	Niesen	Gähnen	Stirnrunzeln	Lächeln	Zittern	Schwitzen	Verdauen	Gehen	Rennen	Hören	Sehen																	
50	Formen 2D	easy	Kreis	Quadrat	Dreieck	Rechteck	Oval	Sechseck	Fünfeck	Achteck	Raute	Trapez	Parallelogramm	Polygon	Drachen	Sektor	Ellipse																	
51	Automarken	easy	Toyota	Honda	Ford	Chevrolet	BMW	Mercedes	Audi	Volkswagen	Hyundai	Kia	Nissan	Jeep	Tesla	Ferrari	Porsche																	
52	Straßenfahrzeuge	easy	Auto	LKW	Bus	Motorrad	Transporter	Roller	Fahrrad	Lastwagen	SUV	Limousine	Coupé	Schrägheck	Cabrio	Minivan	Anhänger																	
53	Sportteams	easy	Lakers	Yankees	Cowboys	Celtics	Barcelona	Real Madrid	Packers	Patriots	Bulls	Heat	Dodgers	Giants	Chiefs	Raptors	Arsenal																	
54	Währungen	easy	Dollar	Euro	Yen	Pfund	Franken	Rupie	Peso	Yuan	Real	Rubel	Dinar	Schekel	Ringgit	Won	Schilling																	
55	Frisuren	easy	Zopf	Dutt	Pferdeschwanz	Bob	Pixie	Dauerwelle	Dreadlocks	Afro	Fade	Pony	Hochsteckfrisur	Buzzcut	Cornrows	Stufen	Strähnchen																	
56	Eissorten	easy	Vanille	Schokolade	Erdbeere	Minze	Karamell	Kaffee	Pistazie	Mango	Butter-Pecan	Keksteig	Sahne	Kirsche	Zitrone	Himbeere	Sorbet																	
57	Zootiere	easy	Löwe	Tiger	Affe	Elefant	Giraffe	Panda	Bär	Zebra	Pinguin	Nashorn	Nilpferd	Gorilla	Schlange	Flamingo	Strauß																	
58	Chemische Elemente	hard	Sauerstoff	Kohlenstoff	Gold	Silber	Eisen	Wasserstoff	Stickstoff	Neon	Helium	Kalzium	Kupfer	Natrium	Chlor	Schwefel	Aluminium																	
59	Edelmetalle	hard	Gold	Silber	Platin	Palladium	Rhodium	Iridium	Osmium	Ruthenium	Legierung	Erz	Barren	Karat	Block	Beschichtung	Probe																	
60	Militärränge	hard	General	Oberst	Major	Hauptmann	Leutnant	Sergeant	Korporal	Admiral	Kommandant	Kadett	Gefreiter	Chief	Offizier	Marschall	Fähnrich																	
61	Schreibstile	hard	Belletristik	Sachbuch	Essay	Poesie	Memoiren	Journalismus	Biografie	Technisch	Kreativ	Akademisch	Narrativ	Überzeugend	Deskriptiv	Erklärend	Prosa																	
62	Meere	hard	Mittelmeer	Karibik	Ostsee	Schwarzes Meer	Kaspisches Meer	Ägäis	Nordsee	Adria	Rotes Meer	Arabisches Meer	Tasmansee	Korallenmeer	Beringsee	Sargassosee	Ionisches Meer																	
63	Galaxie-Objekte	hard	Stern	Nebel	Schwarzes Loch	Quasar	Pulsar	Supernova	Dunkle Materie	Andromeda	Milchstraße	Cluster	Komet	Singularität	Kugelsternhaufen	Halo	Licht																	
64	Meeresräuber	hard	Hai	Orca	Barrakuda	Muräne	Riesenkalmar	Blaufisch	Piranha	Weißer Hai	Rotfeuerfisch	Seelöwe	Seeleopard	Killerwal	Oktopus	Anglerfisch	Krokodil																	
