Id	Category	Tags																																																															
0	Compass	easy	North	East	South	West	Northwest	Northeast	Southwest	Southeast	Bearing	Azimuth	Needle	Magnet	Dial	Point	Orientation																																																
1	Job	easy	Nurse	Driver	Teacher	Engineer	Plumber	Lawyer	Chef	Doctor	Artist	Manager	Firefighter	Pilot	Accountant	Mechanic	Electrician																																																
2	Colors	easy	Red	Blue	Yellow	Green	Orange	Purple	Black	White	Gray	Brown	Pink	Gold	Silver	Cyan	Magenta																																																
3	Musical Instruments	easy	Guitar	Piano	Violin	Drums	Trumpet	Cello	Flute	Saxophone	Harp	Clarinet	Oboe	Tuba	Banjo	Marimba	Accordion																																																
4	Planets	easy	Mercury	Venus	Earth	Mars	Jupiter	Saturn	Uranus	Neptune	Pluto (dwarf)	Exoplanet	Orbit	Comet	Asteroid	Galaxy	Solar System																																																
5	Kitchen Utensils	easy	Fork	Spoon	Knife	Whisk	Spatula	Ladle	Rolling Pin	Colander	Peeler	Tongs	Measuring Cup	Grater	Skillet	Pot	Blender																																																
6	Weather	easy	Rain	Snow	Cloud	Wind	Fog	Storm	Sun	Thunder	Lightning	Hail	Breeze	Drizzle	Blizzard	Hurricane	Tornado																																																
7	Shapes	easy	Circle	Square	Triangle	Rectangle	Oval	Star	Diamond	Hexagon	Pentagon	Octagon	Sphere	Cube	Pyramid	Cone	Cylinder																																																
8	Sports	easy	Football	Basketball	Tennis	Golf	Baseball	Running	Swimming	Volleyball	Hockey	Boxing	Cycling	Skiing	Rugby	Fencing	Cricket																																																
9	Fruits	easy	Apple	Banana	Cherry	Orange	Strawberry	Mango	Pineapple	Watermelon	Lemon	Blueberry	Raspberry	Kiwi	Peach	Grape	Pear																																																
10	Vegetables	easy	Carrot	Potato	Tomato	Lettuce	Broccoli	Onion	Pepper	Corn	Spinach	Cabbage	Cucumber	Zucchini	Mushroom	Asparagus	Radish																																																
