Id	Category	Tags																																
0	Colores	easy	Rojo	Azul	Verde	Amarillo	Negro	Naranja	Violeta	Gris	Rosa	Marrón	Cian	Magenta	Índigo	Ocre	Celeste																	
1	Frutas	easy	Manzana	Plátano	Naranja	Pera	Fresa	Uva	Melocotón	Kiwi	Piña	Limón	Guayaba	Litchi	Caqui	Níspero	Physalis																	
2	Verduras	easy	Zanahoria	Tomate	Lechuga	Cebolla	Patata	Calabacín	Berenjena	Pimiento	Champiñón	Espinaca	Alcachofa	Espárrago	Coliflor	Batata	Rúcula																	
3	Clima	easy	Lluvia	Sol	Viento	Nieve	Nube	Tormenta	Niebla	Granizo	Arco Iris	Escarcha	Llovizna	Siroco	Ventarrón	Cencellada	Ventisca																	
4	Ríos	medium	Sena	Loira	Ródano	Rin	Garona	Danubio	Volga	Amazonas	Nilo	Misisipi	Zambeze	Mekong	Yeniséi	Paraná	Murrey																	
5	Capitales	medium	París	Roma	Londres	Berlín	Madrid	Tokio	Pekín	Ottawa	B. Aires	El Cairo	Katmandú	Uagadugú	Vientián	Tiflis	Astaná																	
6	Montañas	medium	M. Blanco	Everest	Kilimanjaro	Fuji	Himalaya	Aconcagua	McKinley	Cervino	Urales	Apeninos	K2	Denali	Elbrús	Cho Oyu	Jannu																	
7	Desiertos	medium	Sáhara	Gobi	Atacama	Namib	Arábigo	Kalahari	Patagónico	Karakum	Mojave	Thar	Takla-Makan	Simpson	Gibson	Kavir	Pintados																	
8	Árboles	easy	Roble	Pino	Abeto	Haya	Arce	Álamo	Abedul	Fresno	Olivo	Tilo	Ciprés	Secuoya	Baobab	Alerce	Magnolio																	
9	Joyas	medium	Diamante	Rubí	Zafiro	Esmeralda	Oro	Amatista	Topacio	Ópalo	Turquesa	Granate	Peridoto	Zircón	Aguamarina	Morganita	Turmalina																	
10	Ropa	easy	Camisa	Pantalón	Vestido	Falda	Abrigo	Bufanda	Suéter	Calcetín	Guante	Chaqueta	Gabardina	Blazer	Saruel	Caftán	Chaleco																	
11	Utensilios	easy	Tenedor	Cuchillo	Cuchara	Plato	Vaso	Cucharón	Espátula	Batidora	Espumadera	Sacacorchos	Mortero	Mandolina	Cazo	Rallador	Zestear																	
12	Oficios	medium	Médico	Profesor	Bombero	Vendedor	Panadero	Arquitecto	Abogado	Fontanero	Electricista	Contador	Notario	Ebanista	Cartógrafo	Apicultor	Soplador v.																	
13	Muebles	easy	Silla	Mesa	Cama	Armario	Sofá	Librería	Escritorio	Cómoda	Taburete	Estante	Aparador	Sillón	Otomana	Caballete	Secreter																	
14	Monedas	medium	Euro	Dólar	Libra	Yen	Franco	Rublo	Yuan	Rupia	Peso	Real	Dinar	Zloty	Corona	Shekel	Rand																	
15	Herramientas	medium	Martillo	Llave	Sierra	Destornillador	Pinza	Taladro	Cepillo	Nivel	Tornillo	Metro	Buril	Azuela	Lezna	Escuadra	Cincel																	
16	Especias	medium	Sal	Pimienta	Pimentón	Curry	Tomillo	Comino	Azafrán	Anís estr.	Canela	Nuez mosc.	Cardamomo	Cúrcuma	Fenogreco	Zumaque	Asafétida																	
17	Sabores	easy	Dulce	Salado	Amargo	Ácido	Caliente	Picante	Suave	Fuerte	Soso	Sabroso	Umami	Astringente	Áspero	Meloso	Acre																	
