Id	Category	Tags																																
0	Couleurs	easy	Rouge	Bleu	Vert	Jaune	Noir	Orange	Violet	Gris	Rose	Marron	Cyan	Magenta	Indigo	Ocre	Pêche																	
1	Fruits	easy	Pomme	Banane	Orange	Poire	Fraise	Raisin	Pêche	Kiwi	Ananas	Citron	Goyave	Litchi	Kaki	Kumquat	Physalis																	
2	Légumes	easy	Carotte	Tomate	Salade	Oignon	Pomme de terre	Courgette	Aubergine	Poivron	Champignon	Épinard	Artichaut	Asperge	Chou-rave	Patate douce	Roquette																	
3	Météo	easy	Pluie	Soleil	Vent	Neige	Nuage	Orage	Brouillard	Grêle	Arc-en-ciel	Givre	Bruine	Sirocco	Bourrasque	Verglas	Blizzard																	
4	Fleuves	medium	Seine	Loire	Rhône	Rhin	Garonne	Danube	Volga	Amazone	Nil	Mississippi	Zambèze	Mékong	Ienisseï	Huang He	Murray																	
5	Capitales	medium	Paris	Rome	Londres	Berlin	Madrid	Tokyo	Pékin	Ottawa	Buenos Aires	Le Caire	Katmandou	Ouagadougou	Vientiane	Tbilissi	Astana																	
6	Montagnes	medium	Mont Blanc	Everest	Kilimandjaro	Fuji	Himalaya	Aconcagua	McKinley	Cervin	Oural	Apennins	K2	Denali	Elbrouz	Cho Oyu	Jannu																	
7	Déserts	medium	Sahara	Gobi	Atacama	Namib	Arabique	Kalahari	Patagonien	Karakoum	Mojave	Thar	Takla-Makan	Simpson	Gibson	Kavir	Pintados																	
8	Arbres	easy	Chêne	Pin	Sapin	Hêtre	Érable	Peuplier	Bouleau	Frêne	Olivier	Tilleul	Cyprès	Séquoia	Baobab	Mélèze	Magnolia																	
9	Pierres	medium	Diamant	Rubis	Saphir	Émeraude	Or	Améthyste	Topaze	Opale	Turquoise	Grenat	Péridot	Zircon	Aigue-marine	Morganite	Tourmaline																	
10	Vêtements	easy	Chemise	Pantalon	Robe	Jupe	Manteau	Écharpe	Pull	Chaussettes	Gant	Veste	Trench	Blazer	Sarouel	Caftan	Gilet																	
11	Ustensiles	easy	Fourchette	Couteau	Cuillère	Assiette	Verre	Louche	Spatule	Fouet	Écumoire	Tire-bouchon	Mortier	Mandoline	Chaponnière	Râpe	Zesteur																	
12	Métiers	medium	Médecin	Professeur	Pompier	Vendeur	Boulanger	Architecte	Avocat	Plombier	Électricien	Comptable	Notaire	Ébéniste	Cartographe	Apiculteur	Souffleur de verre																	
13	Meubles	easy	Chaise	Table	Lit	Armoire	Canapé	Bibliothèque	Bureau	Commode	Tabouret	Étagère	Dressoir	Fauteuil	Ottoman	Chevalet	Secrétaire																	
14	Monnaies	medium	Euro	Dollar	Livre	Yen	Franc	Rouble	Yuan	Roupie	Peso	Réal	Dinar	Zloty	Couronne	Shekel	Rand																	
