Id	Category	Tags	Words																															
0	Bussola	easy	Nord	Est	Sud	Ovest	Nord-ovest	Nord-est	Sud-ovest	Sud-est	Rilevamento	Azimut	Ago	Magnete	Quadrante	Punto	Orientamento																	
1	Lavoro	easy	Infermiere	Autista	Insegnante	Ingegnere	Idraulico	Avvocato	Chef	Dottore	Artista	Manager	Pompiere	Pilota	Contabile	Meccanico	Elettricista																	
2	Colori	easy	Rosso	Blu	Giallo	Verde	Arancione	Viola	Nero	Bianco	Grigio	Marrone	Rosa	Oro	Argento	Ciano	Magenta																	
3	Strumenti Musicali	easy	Chitarra	Pianoforte	Violino	Batteria	Tromba	Violoncello	Flauto	Sassofono	Arpa	Clarinetto	Oboe	Tuba	Banjo	Marimba	Fisarmonica																	
4	Pianeti	easy	Mercurio	Venere	Terra	Marte	Giove	Saturno	Urano	Nettuno	Plutone	Esopianeta	Orbita	Cometa	Asteroide	Galassia	Sistema Solare																	
5	Utensili da Cucina	easy	Forchetta	Cucchiaio	Coltello	Frusta	Spatola	Mestolo	Mattarello	Scolapasta	Pelaverdure	Pinze	Misurino	Grattugia	Padella	Pentola	Frullatore																	
6	Meteo	easy	Pioggia	Neve	Nuvola	Vento	Nebbia	Tempesta	Sole	Tuono	Fulmine	Grandine	Brezza	Pioggerellina	Bufera	Uragano	Tornado																	
7	Forme	easy	Cerchio	Quadrato	Triangolo	Rettangolo	Ovale	Stella	Rombo	Esagono	Pentagono	Ottagono	Sfera	Cubo	Piramide	Cono	Cilindro																	
8	Sport	easy	Calcio	Basket	Tennis	Golf	Baseball	Corsa	Nuoto	Pallavolo	Hockey	Pugilato	Ciclismo	Sci	Rugby	Scherma	Cricket																	
9	Frutta	easy	Mela	Banana	Ciliegia	Arancia	Fragola	Mango	Ananas	Anguria	Limone	Mirtillo	Lampone	Kiwi	Pesca	Uva	Pera																	
10	Verdure	easy	Carota	Patata	Pomodoro	Lattuga	Broccoli	Cipolla	Peperone	Mais	Spinaci	Cavolo	Cetriolo	Zucchina	Fungo	Asparago	Ravanello																	
11	Parti del Corpo	easy	Testa	Braccio	Gamba	Mano	Piede	Occhio	Orecchio	Naso	Bocca	Collo	Spalla	Dito	Dito del piede	Petto	Stomaco																	
12	Emozioni	easy	Gioia	Rabbia	Paura	Tristezza	Sorpresa	Disgusto	Eccitazione	Calma	Amore	Ansia	Vergogna	Colpa	Invidia	Speranza	Orgoglio																	
13	Trasporti	easy	Auto	Autobus	Treno	Aereo	Bicicletta	Barca	Nave	Moto	Scooter	Metropolitana	Taxi	Elicottero	Traghetto	Camion	Razzo																	
14	Musica	easy	Disco	Pop	Jazz	Classica	Blues	Country	Hip Hop	Elettronica	Reggae	Folk	Metal	Soul	Rock	Gospel	Opera																	
15	Materie Scolastiche	easy	Matematica	Scienze	Storia	Inglese	Arte	Geografia	Musica	Fisica	Chimica	Biologia	Letteratura	Economia	Psicologia	Lingua Straniera	Teatro																	
16	Giardino	easy	Fiore	Albero	Cespuglio	Pala	Rastrello	Terreno	Erba	Tubo	Annaffiatoio	Recinto	Panchina	Casetta per uccelli	Seme	Compost	Buca																	
17	Mobili	easy	Sedia	Tavolo	Divano	Letto	Scrivania	Lampada	Scaffale	Armadietto	Cassettiera	Sgabello	Ottomana	Tappeto	Specchio	Orologio	Armadio																	
18	Dessert	easy	Torta	Crostata	Cheesecake	Gelato	Budino	Brownie	Ciambella	Muffin	Tortina	Biscotto	Sorbetto	Crema	Semifreddo	Waffle	Soufflé																	
19	Giochi da Tavolo	easy	Scacchi	Dama	Monopoly	Scarabeo	Cluedo	Risiko	Go	Backgammon	Domino	Poker	Bingo	Dadi	Pedina	Carta	Strategia																	
20	Uccelli	easy	Pettirosso	Passero	Aquila	Falco	Piccione	Gufo	Pinguino	Pappagallo	Canarino	Corvo	Cigno	Anatra	Oca	Avvoltoio	Albatros																	
21	Mammiferi	easy	Elefante	Leone	Tigre	Scimmia	Orso	Lupo	Cervo	Volpe	Coniglio	Topo	Balena	Pipistrello	Canguro	Cavallo	Zebra																	
22	Tecnologia	easy	Computer	Telefono	Internet	Software	Hardware	Rete	Chip	Pixel	Dati	Server	Cloud	Tablet	Router	Tastiera	Algoritmo																	
23	Calzature	easy	Scarpa	Stivale	Sandalo	Sneaker	Tacco	Pantofola	Mocassino	Scarpa bassa	Zoccolo	Scarpa da ginnastica	Infradito	Stivale di gomma	Décolleté	Tacchetti	Oxford																	
24	Forniture per Ufficio	easy	Penna	Carta	Cucitrice	Cartella	Pennarello	Stampante	Busta	Forbici	Evidenziatore	Graffetta	Raccoglitore	Lavagna	Post-it	Calcolatrice	Nastro adesivo																	
25	Parco Divertimenti	easy	Montagne russe	Ruota panoramica	Giostra	Biglietto	Attrazione	Fila	Zucchero filato	Gioco	Luna Park	Stand	Brivido	Ingresso	Parco	Mascotte	Souvenir																	
26	Paesi	easy	Brasile	Inghilterra	India	Russia	Canada	Messico	Egitto	Nigeria	Giappone	Corea	Australia	Germania	Francia	Finlandia	Argentina																	
27	Fast Food	easy	Hamburger	Patatine	Pizza	Taco	Panino	Hot Dog	Pollo	Frullato	Bibita	Ciambella	Wrap	Nuggets	Anelli di cipolla	Drive-Thru	Ketchup																	
