Id	Category	Tags	Words																															
0	方位	easy	北	東	南	西	北西	北東	南西	南東	方位	方位角	針	磁石	文字盤	ポイント	オリエンテーション																	
1	仕事	easy	看護師	運転手	先生	エンジニア	配管工	弁護士	シェフ	医者	アーティスト	マネージャー	消防士	パイロット	会計士	整備士	電気技師																	
2	色	easy	赤	青	黄	緑	オレンジ	紫	黒	白	灰	茶	ピンク	金	銀	シアン	マゼンタ																	
3	楽器	easy	ギター	ピアノ	バイオリン	ドラム	トランペット	チェロ	フルート	サックス	ハープ	クラリネット	オーボエ	チューバ	バンジョー	マリンバ	アコーディオン																	
4	惑星	easy	水星	金星	地球	火星	木星	土星	天王星	海王星	冥王星	系外惑星	軌道	彗星	小惑星	銀河	太陽系																	
5	キッチン用品	easy	フォーク	スプーン	ナイフ	泡立て器	へら	お玉	麺棒	ザル	ピーラー	トング	計量カップ	おろし金	スキレット	鍋	ミキサー																	
6	天気	easy	雨	雪	雲	風	霧	嵐	太陽	雷	稲妻	雹	そよ風	霧雨	吹雪	ハリケーン	竜巻																	
7	形	easy	円	正方形	三角形	長方形	楕円	星	ダイヤモンド	六角形	五角形	八角形	球	立方体	ピラミッド	円錐	円柱																	
8	スポーツ	easy	サッカー	バスケ	テニス	ゴルフ	野球	ランニング	水泳	バレー	ホッケー	ボクシング	サイクリング	スキー	ラグビー	フェンシング	クリケット																	
9	果物	easy	リンゴ	バナナ	さくらんぼ	オレンジ	イチゴ	マンゴー	パイナップル	スイカ	レモン	ブルーベリー	ラズベリー	キウイ	桃	ブドウ	梨																	
10	野菜	easy	人参	ジャガイモ	トマト	レタス	ブロッコリー	玉ねぎ	ピーマン	トウモロコシ	ほうれん草	キャベツ	きゅうり	ズッキーニ	キノコ	アスパラ	大根																	
11	体の部位	easy	頭	腕	脚	手	足	目	耳	鼻	口	首	肩	指	つま先	胸	胃																	
12	感情	easy	喜び	怒り	恐怖	悲しみ	驚き	嫌悪	興奮	落ち着き	愛	不安	恥	罪悪感	嫉妬	希望	誇り																	
13	乗り物	easy	車	バス	電車	飛行機	自転車	ボート	船	バイク	スクーター	地下鉄	タクシー	ヘリコプター	フェリー	トラック	ロケット																	
14	音楽	easy	ディスコ	ポップ	ジャズ	クラシック	ブルース	カントリー	ヒップホップ	エレクトロ	レゲエ	フォーク	メタル	ソウル	ロック	ゴスペル	オペラ																	
15	学校の教科	easy	数学	科学	歴史	英語	美術	地理	音楽	物理	化学	生物	文学	経済	心理学	外国語	演劇																	
16	庭	easy	花	木	茂み	シャベル	熊手	土	草	ホース	じょうろ	フェンス	ベンチ	巣箱	種	堆肥	穴																	
17	家具	easy	椅子	テーブル	ソファ	ベッド	机	ランプ	棚	キャビネット	ドレッサー	スツール	オットマン	ラグ	鏡	時計	ワードローブ																	
