Id	Category	Tags	Words																															
0	Компас	easy	Север	Восток	Юг	Запад	Северо-Запад	Северо-Восток	Юго-Запад	Юго-Восток	Пеленг	Азимут	Стрелка	Магнит	Циферблат	Точка	Ориентир																	
1	Работа	easy	Медсестра	Водитель	Учитель	Инженер	Сантехник	Адвокат	Повар	Врач	Художник	Менеджер	Пожарный	Пилот	Бухгалтер	Механик	Электрик																	
2	Цвета	easy	Красный	Синий	Желтый	Зеленый	Оранжевый	Фиолетовый	Черный	Белый	Серый	Коричневый	Розовый	Золотой	Серебряный	Голубой	Пурпурный																	
3	Муз. Инструменты	easy	Гитара	Пианино	Скрипка	Барабаны	Труба	Виолончель	Флейта	Саксофон	Арфа	Кларнет	Гобой	Туба	Банджо	Маримба	Аккордеон																	
4	Планеты	easy	Меркурий	Венера	Земля	Марс	Юпитер	Сатурн	Уран	Нептун	Плутон	Экзопланета	Орбита	Комета	Астероид	Галактика	Солнечная система																	
5	Кухонная Утварь	easy	Вилка	Ложка	Нож	Венчик	Лопатка	Половник	Скалка	Дуршлаг	Овощечистка	Щипцы	Мерный стакан	Терка	Сковорода	Кастрюля	Блендер																	
6	Погода	easy	Дождь	Снег	Облако	Ветер	Туман	Шторм	Солнце	Гром	Молния	Град	Бриз	Изморось	Метель	Ураган	Торнадо																	
7	Формы	easy	Круг	Квадрат	Треугольник	Прямоугольник	Овал	Звезда	Ромб	Шестиугольник	Пятиугольник	Восьмиугольник	Сфера	Куб	Пирамида	Конус	Цилиндр																	
8	Спорт	easy	Футбол	Баскетбол	Теннис	Гольф	Бейсбол	Бег	Плавание	Волейбол	Хоккей	Бокс	Велоспорт	Лыжи	Регби	Фехтование	Крикет																	
9	Фрукты	easy	Яблоко	Банан	Вишня	Апельсин	Клубника	Манго	Ананас	Арбуз	Лимон	Черника	Малина	Киви	Персик	Виноград	Груша																	
10	Овощи	easy	Морковь	Картофель	Помидор	Салат	Брокколи	Лук	Перец	Кукуруза	Шпинат	Капуста	Огурец	Кабачок	Гриб	Спаржа	Редис																	
11	Части Тела	easy	Голова	Рука	Нога	Кисть	Стопа	Глаз	Ухо	Нос	Рот	Шея	Плечо	Палец	Палец ноги	Грудь	Живот																	
12	Эмоции	easy	Радость	Гнев	Страх	Грусть	Удивление	Отвращение	Волнение	Спокойствие	Любовь	Тревога	Стыд	Вина	Зависть	Надежда	Гордость																	
13	Транспорт	easy	Автомобиль	Автобус	Поезд	Самолет	Велосипед	Лодка	Корабль	Мотоцикл	Скутер	Метро	Такси	Вертолет	Паром	Грузовик	Ракета																	
14	Музыка	easy	Диско	Поп	Джаз	Классика	Блюз	Кантри	Хип-хоп	Электроника	Регги	Фолк	Метал	Соул	Рок	Госпел	Опера																	
15	Школьные Предметы	easy	Математика	Наука	История	Английский	ИЗО	География	Музыка	Физика	Химия	Биология	Литература	Экономика	Психология	Иностранный	Драма																	
16	Сад	easy	Цветок	Дерево	Куст	Лопата	Грабли	Почва	Трава	Шланг	Лейка	Забор	Скамья	Скворечник	Семена	Компост	Яма																	
17	Мебель	easy	Стул	Стол	Диван	Кровать	Парта	Лампа	Полка	Шкаф	Комод	Табурет	Пуф	Ковер	Зеркало	Часы	Гардероб																	
18	Десерты	easy	Торт	Пирог	Чизкейк	Мороженое	Пудинг	Брауни	Пончик	Маффин	Тарт	Печенье	Сорбет	Заварной крем	Джелато	Вафля	Суфле																	
19	Настольные Игры	easy	Шахматы	Шашки	Монополия	Эрудит	Клюэдо	Риск	Го	Нарды	Домино	Покер	Бинго	Кости	Фишка	Карта	Стратегия																	
20	Птицы	easy	Малиновка	Воробей	Орел	Ястреб	Голубь	Сова	Пингвин	Попугай	Канарейка	Ворона	Лебедь	Утка	Гусь	Стервятник	Альбатрос																	
21	Млекопитающие	easy	Слон	Лев	Тигр	Обезьяна	Медведь	Волк	Олень	Лиса	Кролик	Мышь	Кит	Летучая мышь	Кенгуру	Лошадь	Зебра																	
22	Технологии	easy	Компьютер	Телефон	Интернет	Софт	Железо	Сеть	Чип	Пиксель	Данные	Сервер	Облако	Планшет	Роутер	Клавиатура	Алгоритм																	
23	Обувь	easy	Туфля	Ботинок	Сандалии	Кроссовки	Каблук	Тапочки	Лофер	Мокасин	Сабо	Кеды	Шлепанцы	Сапоги	Ложочки	Бутсы	Оксфорды																	
24	Канцелярия	easy	Ручка	Бумага	Степлер	Папка	Маркер	Принтер	Конверт	Ножницы	Выделитель	Скрепка	Скоросшиватель	Доска	Стикер	Калькулятор	Скотч																	
25	Парк Аттракционов	easy	Американские горки	Колесо обозрения	Карусель	Билет	Аттракцион	Очередь	Сладкая вата	Игра	Аллея	Будка	Адреналин	Вход	Парк	Талисман	Сувенир																	
26	Страны	easy	Бразилия	Англия	Индия	Россия	Канада	Мексика	Египет	Нигерия	Япония	Корея	Австралия	Германия	Франция	Финляндия	Аргентина																	
27	Фастфуд	easy	Бургер	Картошка фри	Пицца	Тако	Сэндвич	Хот-дог	Курица	Шейк	Газировка	Пончик	Ролл	Наггетсы	Луковые кольца	Автокафе	Кетчуп																	
28	Имена	easy	Михаил	Елена	Александр	Анна	Дмитрий	Мария	Иван	Ольга	Сергей	Татьяна	Андрей	Наталья	Николай	Екатерина	Павел																	
29	Праздники	easy	Рождество	Пасха	Хэллоуин	День благодарения	Дивали	Ханука	Новый год	День Валентина	День рождения	Годовщина	Фестиваль	Отпуск	Празднование	Парад	Пир																	
30	Насекомые	easy	Муравей	Пчела	Муха	Комар	Жук	Бабочка	Моль	Сверчок	Кузнечик	Оса	Саранча	Божья коровка	Термит	Стрекоза	Гусеница																	
31	Прилагательные	easy	Счастливый	Грустный	Высокий	Низкий	Быстрый	Медленный	Большой	Маленький	Красный	Синий	Громкий	Тихий	Яркий	Темный	Гладкий																	
32	Глаголы	easy	Бежать	Прыгать	Идти	Есть	Спать	Говорить	Думать	Писать	Читать	Водить	Петь	Танцевать	Летать	Плавать	Строить																	
33	Материалы	easy	Дерево	Металл	Пластик	Стекло	Резина	Бумага	Керамика	Бетон	Кирпич	Ткань	Пена	Смола	Глина	Камень	Воск																	
34	Инструменты	easy	Молоток	Дрель	Пила	Гаечный ключ	Плоскогубцы	Уровень	Отвертка	Стамеска	Топор	Рулетка	Тиски	Напильник	Зажим	Степлер	Лестница																	
35	Одежда	easy	Рубашка	Брюки	Платье	Юбка	Куртка	Свитер	Пальто	Носки	Обувь	Шляпа	Шарф	Перчатки	Пояс	Галстук	Джинсы																	
36	Карточные Игры	easy	Покер	Бридж	Рамми	Пасьянс	Блэкджек	Гоу Фиш	Червы	Криббедж	Юкер	Пинокль	Колода	Рука	Тасовка	Раздача	Козырь																	
37	Погодные Явления	easy	Дождь	Снег	Град	Гроза	Метель	Ураган	Торнадо	Засуха	Туман	Ветер	Циклон	Слякоть	Радуга	Ливень	Муссон																	
38	Бытовая Техника	easy	Духовка	Плита	Микроволновка	Тостер	Блендер	Холодильник	Посудомойка	Кофеварка	Миксер	Гриль	Чайник	Комбайн	Фритюрница	Плитка	Вытяжка																	
39	Муз. Жанры	easy	Поп	Рок	Джаз	Блюз	Классика	Фолк	Метал	Хип-хоп	Регги	ЕДМ	Соул	Кантри	Опера	Панк	Диско																	
40	Предлоги	easy	У	На	В	К	Для	С	Под	Над	Через	О	Между	Среди	Сзади	Перед	После																	
41	Ферма	easy	Корова	Свинья	Курица	Овца	Лошадь	Коза	Утка	Индюк	Гусь	Осел	Лама	Альпака	Кролик	Петух	Теленок																	
42	Спорт Инвентарь	easy	Мяч	Бита	Ракетка	Клюшка	Сетка	Палка	Шлем	Перчатка	Щитки	Коньки	Очки	Обруч	Бутсы	Ворота	Волан																	
43	Части Здания	easy	Стена	Пол	Потолок	Крыша	Дверь	Окно	Фундамент	Балка	Колонна	Лестница	Дымоход	Балкон	Чердак	Подвал	Желоб																	
44	Штаты США	easy	Калифорния	Техас	Флорида	Нью-Йорк	Аляска	Гавайи	Иллинойс	Огайо	Пенсильвания	Мичиган	Джорджия	Северная Каролина	Вашингтон	Вирджиния	Аризона																	
